Timestamp,Name (Optional),Age,Gender,Marital Status,Employment Status,Current Region ,Would you agree that you frequently shop online?,Where do you shop more often?,Part 1 - Please select all events in which you will most likely buy items in the specified product categories. (Having an answer for all categories is not required) [Apparel/Clothing],Part 1 - Please select all events in which you will most likely buy items in the specified product categories. (Having an answer for all categories is not required) [Health & Personal Care],"Part 1 - Please select all events in which you will most likely buy items in the specified product categories. (Having an answer for all categories is not required) [Home Entertainment (TV, Speakers, Online Streaming Subscription, Etc.)]",Part 1 - Please select all events in which you will most likely buy items in the specified product categories. (Having an answer for all categories is not required) [Babies & Kids],Part 1 - Please select all events in which you will most likely buy items in the specified product categories. (Having an answer for all categories is not required) [Food/Groceries],"Part 1 - Please select all events in which you will most likely buy items in the specified product categories. (Having an answer for all categories is not required) [Toys, Games, Collectibles]",Part 1 - Please select all events in which you will most likely buy items in the specified product categories. (Having an answer for all categories is not required) [Bags],Part 1 - Please select all events in which you will most likely buy items in the specified product categories. (Having an answer for all categories is not required) [Stationery],Part 1 - Please select all events in which you will most likely buy items in the specified product categories. (Having an answer for all categories is not required) [Books],Part 1 - Please select all events in which you will most likely buy items in the specified product categories. (Having an answer for all categories is not required) [Sports & Travel],Part 2 - Please select all events in which you will most likely buy items in the specified product categories. (Having an answer for all categories is not required) [Wearable Accessories],Part 2 - Please select all events in which you will most likely buy items in the specified product categories. (Having an answer for all categories is not required) [Automobile Accessories],Part 2 - Please select all events in which you will most likely buy items in the specified product categories. (Having an answer for all categories is not required) [Cameras/Camera Accessories],Part 2 - Please select all events in which you will most likely buy items in the specified product categories. (Having an answer for all categories is not required) [Laptops/Computers],Part 2 - Please select all events in which you will most likely buy items in the specified product categories. (Having an answer for all categories is not required) [Tech Accessories],Part 2 - Please select all events in which you will most likely buy items in the specified product categories. (Having an answer for all categories is not required) [Pet Care/Accessories],Part 2 - Please select all events in which you will most likely buy items in the specified product categories. (Having an answer for all categories is not required) [Power Tools],BACK TO SCHOOL - Please select all items that you would typically buy during this season.,SUMMER - Please select all items that you would typically buy during this season.
3/24/2022 8:08:26,Christian Bayquen,21,Male,Single,Employed,Region III - Central Luzon,2,Online Stores,"Monthly/Weekly Basis (Payday Sales), When Needed",When Needed,"Monthly/Weekly Basis (Payday Sales), When Needed",,"Monthly/Weekly Basis (Payday Sales), When Needed",Monthly/Weekly Basis (Payday Sales),When Needed,Monthly/Weekly Basis (Payday Sales),Monthly/Weekly Basis (Payday Sales),Monthly/Weekly Basis (Payday Sales),When Needed,,,,Monthly/Weekly Basis (Payday Sales),Monthly/Weekly Basis (Payday Sales),,"Pen/Marker/Pencil/Scriber, Paper/Envelopes/Post-it Notes/, Notebooks, Umbrella, Bags/School Bags","Clothing, Umbrellas, Towels, Water Bottles"
3/24/2022 8:22:28,,21,Male,Single,Student,CAR - Cordillera Administrative Region,1,Online Stores,Monthly/Weekly Basis (Payday Sales),When Needed,When Needed,When Needed,Monthly/Weekly Basis (Payday Sales),When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,"Pen/Marker/Pencil/Scriber, Notebooks, School Uniforms/Clothing","Clothing, Water Bottles"
3/24/2022 8:32:39,,20,Male,Single,Student,Region III - Central Luzon,2,Online Stores,When Needed,Monthly/Weekly Basis (Payday Sales),Monthly/Weekly Basis (Payday Sales),Birthdays (Self/As a Gift),Monthly/Weekly Basis (Payday Sales),When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,Birthdays (Self/As a Gift),When Needed,When Needed,"Pen/Marker/Pencil/Scriber, Paper/Envelopes/Post-it Notes/, Notebooks, Academic Books, Art Materials, School Uniforms/Clothing, Umbrella","Clothing, Umbrellas, Sunscreen/Heat-Protectant Skin Products, Swimsuit, Swim Goggles, Water Bottles"
3/24/2022 8:35:13,,21,Female,Single,Student,Region IV-A - CALABARZON,4,Online Stores,"Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift), Monthly/Weekly Basis (Payday Sales)","Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift), Monthly/Weekly Basis (Payday Sales)",When Needed,,When Needed,,"Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift), Monthly/Weekly Basis (Payday Sales)",When Needed,When Needed,When Needed,"Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift), Monthly/Weekly Basis (Payday Sales)",,,When Needed,When Needed,When Needed,,"Pen/Marker/Pencil/Scriber, Paper/Envelopes/Post-it Notes/, Notebooks, Academic Books, Art Materials, Tech Products/Tech Accessories","Clothing, Sunscreen/Heat-Protectant Skin Products, Swimsuit"
3/24/2022 8:41:26,Anne,22,Female,Single,Student,Region IV-A - CALABARZON,5,Online Stores,"Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift)","Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift)","Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift)",Christmas/New Year/Holiday Season,"Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift)",Birthdays (Self/As a Gift),Birthdays (Self/As a Gift),Birthdays (Self/As a Gift),Birthdays (Self/As a Gift),Birthdays (Self/As a Gift),Birthdays (Self/As a Gift),Birthdays (Self/As a Gift),Birthdays (Self/As a Gift),Birthdays (Self/As a Gift),Birthdays (Self/As a Gift),Birthdays (Self/As a Gift),Birthdays (Self/As a Gift),"Pen/Marker/Pencil/Scriber, Paper/Envelopes/Post-it Notes/, Notebooks, Academic Books, Laptop, School Uniforms/Clothing, Bags/School Bags, Make up/Beauty Products","Clothing, Sunscreen/Heat-Protectant Skin Products"
3/24/2022 8:45:23,,21,Male,Single,Student,Region III - Central Luzon,1,Physical Stores,When Needed,When Needed,"Christmas/New Year/Holiday Season, When Needed",,Monthly/Weekly Basis (Payday Sales),Christmas/New Year/Holiday Season,When Needed,,,When Needed,,When Needed,,When Needed,When Needed,When Needed,,"Pen/Marker/Pencil/Scriber, Notebooks, School Uniforms/Clothing, Umbrella, Bags/School Bags","Sunscreen/Heat-Protectant Skin Products, Water Bottles"
3/24/2022 9:04:56,,20,Male,Single,Student,Region III - Central Luzon,3,Online Stores,"Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift)",When Needed,"Monthly/Weekly Basis (Payday Sales), When Needed",,Monthly/Weekly Basis (Payday Sales),Birthdays (Self/As a Gift),,,,Birthdays (Self/As a Gift),"Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift)",,,When Needed,"Birthdays (Self/As a Gift), Monthly/Weekly Basis (Payday Sales)",,,"Pen/Marker/Pencil/Scriber, Paper/Envelopes/Post-it Notes/, Notebooks, Laptop, Tech Products/Tech Accessories",Clothing
3/24/2022 9:23:12,Faye,21,Female,Single,Student,Region IV-A - CALABARZON,5,Online Stores,When Needed,When Needed,Monthly/Weekly Basis (Payday Sales),When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,"Pen/Marker/Pencil/Scriber, Paper/Envelopes/Post-it Notes/, Academic Books, Tech Products/Tech Accessories, School Uniforms/Clothing, Umbrella, Bags/School Bags, Make up/Beauty Products","Clothing, Umbrellas, Sunscreen/Heat-Protectant Skin Products, Swimsuit, Bags, Water Bottles"
3/24/2022 9:39:40,,21,Female,Single,Student,NCR - National Capital Region,5,Online Stores,Christmas/New Year/Holiday Season,Birthdays (Self/As a Gift),Christmas/New Year/Holiday Season,Christmas/New Year/Holiday Season,Birthdays (Self/As a Gift),Birthdays (Self/As a Gift),Birthdays (Self/As a Gift),Birthdays (Self/As a Gift),Birthdays (Self/As a Gift),Birthdays (Self/As a Gift),Birthdays (Self/As a Gift),Birthdays (Self/As a Gift),Birthdays (Self/As a Gift),Birthdays (Self/As a Gift),Birthdays (Self/As a Gift),Birthdays (Self/As a Gift),Birthdays (Self/As a Gift),"Pen/Marker/Pencil/Scriber, Paper/Envelopes/Post-it Notes/, Notebooks, Art Materials, Umbrella","Clothing, Sunscreen/Heat-Protectant Skin Products, Swimsuit, Inflatable Pools, Pool Toys"
3/24/2022 9:41:46,,21,Female,Single,Student,Region IV-A - CALABARZON,5,Online Stores,When Needed,Monthly/Weekly Basis (Payday Sales),When Needed,When Needed,Christmas/New Year/Holiday Season,Birthdays (Self/As a Gift),When Needed,When Needed,When Needed,Birthdays (Self/As a Gift),Monthly/Weekly Basis (Payday Sales),When Needed,When Needed,When Needed,Birthdays (Self/As a Gift),Monthly/Weekly Basis (Payday Sales),When Needed,"Pen/Marker/Pencil/Scriber, Paper/Envelopes/Post-it Notes/, Laptop, Phone/Tablet, School Uniforms/Clothing, Umbrella","Clothing, Umbrellas, Sunscreen/Heat-Protectant Skin Products, Swimsuit, Towels, Bags, Water Bottles, Ice Cooler, Pool Toys"
3/24/2022 9:53:05,,24,Male,Single,Student,Region VII - Central Visayas,1,Physical Stores,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,Birthdays (Self/As a Gift),Birthdays (Self/As a Gift),Birthdays (Self/As a Gift),"Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift)",When Needed,When Needed,When Needed,"Pen/Marker/Pencil/Scriber, Paper/Envelopes/Post-it Notes/, Notebooks, Laptop, Tech Products/Tech Accessories, School Uniforms/Clothing, Bags/School Bags",Clothing
3/24/2022 10:03:46,,21,Female,Single,Student,NCR - National Capital Region,5,Online Stores,"Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift), When Needed",When Needed,When Needed,,When Needed,,"Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift)",When Needed,When Needed,When Needed,"Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift), When Needed",When Needed,,,,"Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift), When Needed",,"Pen/Marker/Pencil/Scriber, Paper/Envelopes/Post-it Notes/, Notebooks, Bags/School Bags",Clothing
3/24/2022 10:11:16,,21,Male,Single,Student,Region III - Central Luzon,3,Physical Stores,When Needed,Monthly/Weekly Basis (Payday Sales),When Needed,When Needed,Monthly/Weekly Basis (Payday Sales),When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,"Pen/Marker/Pencil/Scriber, Notebooks, Tech Products/Tech Accessories, Umbrella","Sunscreen/Heat-Protectant Skin Products, Towels, Ice Cooler, Inflatable Pools"
3/24/2022 10:22:33,,45,Female,Married,Unemployed,Region III - Central Luzon,3,Physical Stores,When Needed,Monthly/Weekly Basis (Payday Sales),,,Monthly/Weekly Basis (Payday Sales),,,,Birthdays (Self/As a Gift),When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,,"Pen/Marker/Pencil/Scriber, Paper/Envelopes/Post-it Notes/","Clothing, Sunscreen/Heat-Protectant Skin Products, Towels"
3/24/2022 11:05:30,Maty Rudolf Del Rosario,20,Male,Single,Student,Other,3,Physical Stores,"Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift)",When Needed,"Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift)",When Needed,Monthly/Weekly Basis (Payday Sales),When Needed,"Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift)",When Needed,"Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift)","Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift)","Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift)",When Needed,"Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift)","Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift)","Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift)","Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift)",,"Pen/Marker/Pencil/Scriber, Paper/Envelopes/Post-it Notes/, Notebooks, Academic Books, Art Materials",Clothing
3/24/2022 11:07:58,Yes,23,Male,Single,Unemployed,Region VII - Central Visayas,1,Physical Stores,"Christmas/New Year/Holiday Season, When Needed",When Needed,"Birthdays (Self/As a Gift), Monthly/Weekly Basis (Payday Sales)","Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift), When Needed",When Needed,"Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift)",When Needed,When Needed,"Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift), Monthly/Weekly Basis (Payday Sales)",Monthly/Weekly Basis (Payday Sales),Birthdays (Self/As a Gift),Monthly/Weekly Basis (Payday Sales),Monthly/Weekly Basis (Payday Sales),"Monthly/Weekly Basis (Payday Sales), When Needed","Monthly/Weekly Basis (Payday Sales), When Needed",When Needed,When Needed,"Pen/Marker/Pencil/Scriber, Paper/Envelopes/Post-it Notes/, Notebooks, Academic Books, Art Materials, School Uniforms/Clothing, Bags/School Bags",Clothing
3/24/2022 11:41:45,Richard,22,Male,Single,Student,Region I - Ilocos Region,3,Physical Stores,When Needed,Monthly/Weekly Basis (Payday Sales),Christmas/New Year/Holiday Season,When Needed,Monthly/Weekly Basis (Payday Sales),Birthdays (Self/As a Gift),When Needed,When Needed,When Needed,When Needed,Birthdays (Self/As a Gift),Monthly/Weekly Basis (Payday Sales),Christmas/New Year/Holiday Season,When Needed,When Needed,Monthly/Weekly Basis (Payday Sales),Birthdays (Self/As a Gift),"Pen/Marker/Pencil/Scriber, Paper/Envelopes/Post-it Notes/, Notebooks, School Uniforms/Clothing, Umbrella, Bags/School Bags","Clothing, Umbrellas, Sunscreen/Heat-Protectant Skin Products, Towels, Water Bottles, Ice Cooler, Inflatable Pools"
3/24/2022 11:45:26,,20,Male,Single,Student,CAR - Cordillera Administrative Region,4,Online Stores,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,"Pen/Marker/Pencil/Scriber, Paper/Envelopes/Post-it Notes/, Academic Books",Electric fan
3/24/2022 11:46:54,eban,20,Male,Single,Student,Region I - Ilocos Region,4,Online Stores,"Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift), Monthly/Weekly Basis (Payday Sales), When Needed","Birthdays (Self/As a Gift), When Needed",Monthly/Weekly Basis (Payday Sales),Birthdays (Self/As a Gift),"Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift), Monthly/Weekly Basis (Payday Sales), When Needed","Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift)",Birthdays (Self/As a Gift),Birthdays (Self/As a Gift),Birthdays (Self/As a Gift),"Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift), Monthly/Weekly Basis (Payday Sales), When Needed","Birthdays (Self/As a Gift), When Needed","Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift), Monthly/Weekly Basis (Payday Sales), When Needed","Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift), Monthly/Weekly Basis (Payday Sales), When Needed","Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift), Monthly/Weekly Basis (Payday Sales), When Needed","Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift), Monthly/Weekly Basis (Payday Sales), When Needed","Monthly/Weekly Basis (Payday Sales), When Needed",When Needed,"Pen/Marker/Pencil/Scriber, Paper/Envelopes/Post-it Notes/, Notebooks, Academic Books, Art Materials, Laptop, Phone/Tablet, Tech Products/Tech Accessories, School Uniforms/Clothing, Umbrella, Bags/School Bags","Clothing, Umbrellas, Towels, Bags, Water Bottles, Ice Cooler"
3/24/2022 11:46:59,,20,Male,Single,Student,Region I - Ilocos Region,3,Physical Stores,Christmas/New Year/Holiday Season,When Needed,Birthdays (Self/As a Gift),When Needed,Monthly/Weekly Basis (Payday Sales),Birthdays (Self/As a Gift),Birthdays (Self/As a Gift),When Needed,When Needed,When Needed,Birthdays (Self/As a Gift),Birthdays (Self/As a Gift),Birthdays (Self/As a Gift),Birthdays (Self/As a Gift),Birthdays (Self/As a Gift),When Needed,When Needed,"Pen/Marker/Pencil/Scriber, Paper/Envelopes/Post-it Notes/, Notebooks, Academic Books, School Uniforms/Clothing, Umbrella, Bags/School Bags",Swimming Safety Equipment (Swimming Rings/Life Jacket/Floaties/Etc.)
3/24/2022 11:49:33,,18,Male,Single,Student,Region III - Central Luzon,3,Online Stores,Monthly/Weekly Basis (Payday Sales),When Needed,Christmas/New Year/Holiday Season,When Needed,Monthly/Weekly Basis (Payday Sales),Birthdays (Self/As a Gift),Birthdays (Self/As a Gift),Monthly/Weekly Basis (Payday Sales),Monthly/Weekly Basis (Payday Sales),Monthly/Weekly Basis (Payday Sales),Monthly/Weekly Basis (Payday Sales),When Needed,When Needed,When Needed,Monthly/Weekly Basis (Payday Sales),Monthly/Weekly Basis (Payday Sales),Christmas/New Year/Holiday Season,"Pen/Marker/Pencil/Scriber, Paper/Envelopes/Post-it Notes/, Notebooks, Tech Products/Tech Accessories, Bags/School Bags","Clothing, Sunscreen/Heat-Protectant Skin Products, Swimsuit, Swim Snorkles, Towels, Water Bottles, Ice Cooler, Inflatable Pools, Pool Toys, Swimming Safety Equipment (Swimming Rings/Life Jacket/Floaties/Etc.)"
3/24/2022 12:28:18,,21,Male,Single,Student,Region I - Ilocos Region,4,Physical Stores,Birthdays (Self/As a Gift),Monthly/Weekly Basis (Payday Sales),When Needed,When Needed,Monthly/Weekly Basis (Payday Sales),When Needed,When Needed,When Needed,When Needed,Birthdays (Self/As a Gift),Monthly/Weekly Basis (Payday Sales),When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,"Pen/Marker/Pencil/Scriber, Paper/Envelopes/Post-it Notes/, Phone/Tablet, Tech Products/Tech Accessories, School Uniforms/Clothing","Clothing, Umbrellas"
3/24/2022 12:34:21,Gab A.,19,Male,Single,Student,Region III - Central Luzon,5,Online Stores,When Needed,When Needed,Monthly/Weekly Basis (Payday Sales),,When Needed,,,,When Needed,,When Needed,,,When Needed,When Needed,When Needed,,"Pen/Marker/Pencil/Scriber, Paper/Envelopes/Post-it Notes/, Notebooks, Academic Books, Art Materials, School Uniforms/Clothing, Umbrella, Raincoat","Sunscreen/Heat-Protectant Skin Products, Water Bottles, Ice Cooler"
3/24/2022 12:52:44,Ryan,21,Male,Single,Student,CAR - Cordillera Administrative Region,4,Online Stores,"Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift)","Monthly/Weekly Basis (Payday Sales), When Needed",Birthdays (Self/As a Gift),,Monthly/Weekly Basis (Payday Sales),"Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift)","Birthdays (Self/As a Gift), When Needed",When Needed,When Needed,When Needed,"Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift)",When Needed,Monthly/Weekly Basis (Payday Sales),"Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift)",When Needed,"Monthly/Weekly Basis (Payday Sales), When Needed",When Needed,"Pen/Marker/Pencil/Scriber, Paper/Envelopes/Post-it Notes/, Notebooks, Academic Books, Art Materials, Laptop, Phone/Tablet, Tech Products/Tech Accessories, School Uniforms/Clothing, Umbrella, Bags/School Bags","Clothing, Umbrellas, Sunscreen/Heat-Protectant Skin Products, Swim Goggles, Towels, Bags, Water Bottles"
3/24/2022 18:07:59,Prince Taguiling,21,Male,Single,Student,CAR - Cordillera Administrative Region,3,Online Stores,"Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift), When Needed",When Needed,When Needed,,,,When Needed,Birthdays (Self/As a Gift),"Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift), When Needed",,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,"Pen/Marker/Pencil/Scriber, Notebooks, Tech Products/Tech Accessories, School Uniforms/Clothing, Bags/School Bags","Clothing, Towels, Bags, Ice Cooler"
